source_name	source_category	source_url_or_endpoint	access_method	source_version_or_release	accessed_or_downloaded_date	license_or_terms	redistribution_status	hbp_layer	input_files_or_api	normalized_output	final_artifact	provenance_fields_preserved	notes
1000 Genomes	population frequency	https://www.internationalgenome.org/	download	TBD	TBD	1000 Genomes data use policy	redistributable subject to source terms	Population-frequency context	config/sources/thousand_genomes.json	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Includes source family; split 30X row when exact pipeline inputs are confirmed.
1000 Genomes 30X	population frequency	https://www.internationalgenome.org/data-portal/data-collection/30x-grch38	download	TBD	TBD	1000 Genomes data use policy	redistributable subject to source terms	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Requested HBP 3.0 source family; verify exact input path.
TOPMed-derived public frequency resources	population frequency	https://bravo.sph.umich.edu/	download/API	TBD	TBD	TOPMed / NHLBI data access policy	redistribution requires source-term review	Population-frequency context	config/sources/topmed_bravo.json	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Public frequency summaries only; no controlled participant-level data.
PAGE	population frequency	TBD	download/API	TBD	TBD	TBD	requires confirmation	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Verify whether present in current production source bundle.
HGDP-CEPH	population frequency	TBD	download	TBD	TBD	TBD	requires confirmation	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Verify exact source and license.
HapMap	population frequency	https://www.genome.gov/10001688/international-hapmap-project	download	TBD	TBD	TBD	requires confirmation	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Verify current production use.
ExAC	population frequency	https://gnomad.broadinstitute.org/downloads#exac-variants	download	TBD	TBD	ExAC/gnomAD terms of use	redistribution subject to source terms	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Verify current production use and exact release.
SGDP	population frequency	https://www.simonsfoundation.org/simons-genome-diversity-project/	download	TBD	TBD	TBD	requires confirmation	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Verify current production use and redistribution rights.
38KJPN	population frequency	https://jmorp.megabank.tohoku.ac.jp/	download/API	TBD	TBD	ToMMo/JMorp terms	redistribution requires source-term review	Population-frequency context	TBD	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Verify exact source and license.
dbVar nstd102 / ClinVar structural variants	structural variant evidence	https://www.ncbi.nlm.nih.gov/dbvar/	download	nstd102	TBD	NCBI Disclaimer and Copyright Notice	public-source terms	Structural-variant evidence	analyzed_data/dbvar/dbvar_structural_variants_nstd102_seed.json.zip	gene-level SV seed records	structural-variant gene payloads	source_db; study_or_submission; sv_id; coordinates; clinical_significance; gene_overlap	Seed artifact is checked in as compressed JSON zip.
dbVar nstd229 / TOPMed structural-variant call set	structural variant evidence	https://www.ncbi.nlm.nih.gov/dbvar/studies/nstd229/	download	nstd229	TBD	NCBI Disclaimer and Copyright Notice; TOPMed/NHLBI policy may apply	redistribution requires source-term review	Structural-variant evidence	raw_data/dbvar/dbvar_structural_variants_nstd229.csv.zip; analyzed_data/dbvar/dbvar_structural_variants_nstd229.report.json	gene-level SV payloads; exon-enriched payloads	analyzed_data/dbvar/dbvar_structural_variants_nstd229.json.zip; analyzed_data/dbvar/dbvar_structural_variants_nstd229.exons.json.zip	source_db; study_or_submission; sv_id; sv_type; coordinates; event_length; gene_overlap; exon_overlap	Local report verifies 3,072,942 records and 75,192 genes for nstd229 ingestion.
ClinVar	variant clinical assertion	https://www.ncbi.nlm.nih.gov/clinvar/	download/API	TBD	TBD	NCBI Disclaimer and Copyright Notice	public-source terms	Variant annotation	config/sources/clinvar.json	clinical significance annotations	association artifacts; variant annotations	source_name; source_version; input_record_id; clinical_significance	Legacy association fields preserve ClinVar clinical significance where present.
GWAS Catalog	association and phenotype evidence	https://www.ebi.ac.uk/gwas/	download/API and versioned local snapshots	TBD	TBD	EMBL-EBI Terms of Use	redistributable subject to source terms	Association and phenotype evidence	config/sources/gwas_catalog.json; config/prep_profiles/legacy_cvd_raw.json; config/prep_profiles/legacy_trait_raw.json	variant-trait associations	association artifacts; variant-index artifacts; serving DuckDB	source_name; source_version; rsid; phenotype; p_value; input_record_id; input_file	Current production inclusion includes versioned GWAS Catalog-derived HBP legacy CVD/trait snapshots; direct source-adapter use is release-dependent.
Million Veteran Program summary statistics	association and phenotype evidence	TBD	restricted/controlled source	TBD	TBD	MVP data-use terms	controlled/non-redistributable raw source data	Association and phenotype evidence	config/export_manifests/association/overrides/million_veteran_program.json	prepared summary-statistics rows	association artifacts; serving DuckDB	source_name; source_version; phenotype; p_value; rsid; cohort_or_study	Do not redistribute controlled or non-public raw MVP files.
Open Targets Platform	drug-discovery/target evidence	https://api.platform.opentargets.org/api/v4/graphql	GraphQL API v4	TBD	TBD	Open Targets Platform data terms / CC0 if confirmed	redistribution requires terms confirmation	Drug-discovery / Drugs & Compounds layer	config/sources/open_targets.json; GraphQL query and variables per run	gene-drug/target-disease evidence	drug-discovery payloads	source_name; source_version; source_url_or_endpoint; accessed_at; source field names	Store GraphQL query, variables, access date, and source field names where available.
DrugBank	drug-discovery/compound knowledgebase	https://go.drugbank.com/releases/5-1-12/downloads/all-full-database	local licensed dataset	5.1.12	TBD	CC BY-NC 4.0 / academic non-commercial terms, requires confirmation from source page	license-restricted; do not redistribute raw data unless permitted	Drug-discovery / Drugs & Compounds layer	licensed DrugBank full database; derived per-gene records	gene-drug records	drug-discovery payloads	molecule_source; molecule_id; target_id; source_action_type; source_indication; source_license	HBP-derived fields should preserve source/version/license metadata; do not commit raw full database.
HBP legacy CVD / trait association snapshots	legacy association evidence	https://www.ebi.ac.uk/gwas/	local versioned files derived from GWAS Catalog records	TBD	TBD	EMBL-EBI Terms of Use	redistributable subject to source terms	Association and phenotype evidence	config/prep_profiles/legacy_cvd_raw.json; config/prep_profiles/legacy_trait_raw.json	canonical association rows	association artifacts; variant-index artifacts	source_name; source_version; rsid; phenotype; p_value; input_file	The `legacy_cvd_raw` and `legacy_trait_raw` labels identify compatibility ingestion paths; the upstream database is the NHGRI-EBI GWAS Catalog.
Expression sources	expression evidence	TBD	import existing payloads	TBD	TBD	source-specific terms	requires source-by-source confirmation	Expression layer	config/profiles/expression.json; config/secondary_analyses/expression.json	normalized expression payloads	expression payloads	source_name; source_version; input_file; transformation	Verify active source set and redistribution rights before release.
Shared genetic architecture layer	derived analysis	DataHub association artifacts	derived from HBP association data	v3.0.0-nar	TBD	inherits source restrictions from association inputs	derived outputs require source-license review	Shared-architecture layer	config/secondary_analyses/sga.json	gene-level shared-variant summaries	shared-architecture summaries	source datasets; phenotype paths; variant IDs; transformation	Derived layer should preserve association-source provenance.
Clinical guideline graph links	guideline context	HCG/HCG-KG repositories	file import / graph export	v3.0.0-nar	TBD	guideline source licenses and HCG/HCG-KG licenses	guideline snippets require source-license review	Clinical guidelines / guideline graph links	HCG release JSON; HCG-KG graph/vector artifacts	gene-guideline links and snippets	guideline-derived payloads	guideline_id; source_document; excerpt/snippet; evidence_class; evidence_level	DataHub consumes guideline-derived artifacts when present; HCG/HCG-KG own extraction and KG construction.
